"sdpclass","si","install","plot","id","rgr.top","res.top","pred.top","reg.a","reg.b","top.a","top.b"
"1",17,2,11,372,0.3215165469557,0.00180332605302784,0.0026578777196945,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,375,0.750457729159996,0.000797261581746467,0.0031948959150798,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,376,0.305925524650156,0.00229374857206145,0.00330475857206145,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,378,0.388840089069223,0.00249812054091377,0.00408750720758044,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,383,0.489230997239859,0.00163383837082296,0.00319878137082296,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,384,0.59535494719914,0.00178796143379798,0.00441859210046465,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,391,0.459748261397217,0.00216974731982339,0.00401617831982339,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,393,0.639464368082149,0.00151139132431297,0.00419207199097964,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,397,0.584385000327108,0.0018613031687245,0.0044784311687245,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,402,0.403809315188874,0.00225355077043313,0.00377991610376646,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,403,0.509252745384812,0.00166719603576612,0.00339726003576612,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,404,0.693099440668457,0.000638400614768562,0.00208015461476856,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,405,0.432826420459941,0.00211514177475607,0.0037292671080894,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,406,0.304808592221008,0.0024318727762203,0.00349813410955363,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,411,0.359390386321596,0.00264286875942534,0.00412555275942534,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,415,0.479002712276261,0.00185469379733659,0.00355989146400326,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,420,0.249900342300283,0.00232579201219959,0.00310064401219959,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,422,0.133868076794005,0.00301642577399217,0.0034826401073255,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,431,0.378639796883286,0.00177119917121299,0.00285051917121299,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,433,0.162582006959827,0.00243857250538738,0.00291201350538738,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,434,0.166413455050134,0.00240261059227904,0.00288225692561237,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,439,0.602274038896316,0.00155542648309957,0.00391079948309957,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,445,0.367971111299224,0.00209650937046912,0.00331711003713579,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,447,0.457934352973677,0.00206325950729622,0.00380629084062955,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,448,0.737174100336371,0.000817907853401823,0.00311197585340182,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,452,0.543092642869445,0.00191094801495048,0.00418235334828381,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,456,0.324797843171777,0.00194635728654192,0.00288262895320859,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,458,0.76483532482193,0.00100776548482243,0.00428536081815576,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,460,0.30675464590403,0.00208226356294298,0.00300364589627631,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
"1",17,2,11,464,0.75518004308474,0.000607495886997701,0.00248139855366437,0.0507502856328388,0.722965410594928,0.0476675423027328,0.592689529067216
