"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"22",176.1986,4,3,835,"ABBA",NA,808,"L","E",145,"S","FSLP",7,6,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.0533003856,0.2578381806,0,0.0533003856,0.2578381806,0,0,0.1299028038,24.1,14.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0456168174,176,FALSE,1,1,2,1,1,2,1,1,1,NA,NA,"[0,0.0616]","[0,0.116]","(0.137,0.274]","[0,0.0616]","[0,0.115]","(0.133,0.266]","[0,0.0616]","[0,0.116]","[0,0.137]",NA,NA
"23",177.1986,4,3,836,"ABBA",2010,808,"L","E",145,"S","FSLP",6,9,FALSE,TRUE,TRUE,NA,NA,1986,0,0.1235426346,NA,0,0.1235426346,NA,0,0.0819399966,NA,23.4,13.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0430053624,177,TRUE,1,2,NA,1,2,NA,1,1,NA,NA,NA,"[0,0.0616]","(0.116,0.232]",NA,"[0,0.0616]","(0.115,0.23]",NA,"[0,0.0616]","[0,0.116]",NA,NA,NA
"28",223.1986,4,4,802,"ABBA",NA,808,"L","E",145,"S","FSLP",8,3,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.0065038974,0.230899746,0,0.0065038974,0.230899746,0,0.0065038974,0.230899746,5.3,3.71,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0022061886,223,FALSE,1,1,2,1,1,2,1,1,2,NA,NA,"[0,0.0616]","[0,0.116]","(0.137,0.274]","[0,0.0616]","[0,0.115]","(0.133,0.266]","[0,0.0616]","[0,0.116]","(0.137,0.274]",NA,NA
"29",224.1986,4,4,803,"ABBA",NA,808,"L","E",145,"S","FSLP",10,4,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,14.6,9.72,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0167415864,224,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"3528",5.1998,4,1,127,"ABBA",NA,808,"L","E",145,"S","FSLP",5,1,FALSE,NA,NA,TRUE,TRUE,1998,0.0029421084,NA,NA,0.0029224734,NA,NA,0.0029224734,NA,NA,1.6,2,NA,NA,NA,"ALIVE","",15.1627603094615,0.0002010624,5,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"3529",6.1998,4,1,128,"ABBA",NA,808,"L","E",145,"S","FSLP",5,1,FALSE,NA,NA,TRUE,TRUE,1998,0.0002206974,NA,NA,0,NA,NA,0,NA,NA,6.1,4.8,NA,NA,NA,"ALIVE","o",15.1627603094615,0.0029224734,6,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"3532",11.1998,4,1,228,"ABBA",2010,808,"L","E",145,"S","FSLP",2,1,FALSE,NA,NA,NA,NA,1998,3.927e-05,NA,NA,0,NA,NA,0,NA,NA,1,1.7,NA,NA,NA,"ALIVE","",15.1627603094615,7.854e-05,11,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"3533",12.1998,4,1,229,"ABBA",2010,808,"L","E",145,"S","FSLP",3,1,FALSE,NA,NA,NA,NA,1998,1.9635e-05,NA,NA,0,NA,NA,1.9635e-05,NA,NA,0.5,1.6,NA,NA,NA,"ALIVE","",15.1627603094615,1.9635e-05,12,TRUE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
"3537",24.1998,4,1,703,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,FALSE,TRUE,TRUE,1998,0.039760875,NA,NA,0.039760875,NA,NA,0.039760875,NA,NA,9.2,5.2,0.0583333333333333,8.109255e-05,-0.02,"ALIVE","o",15.1627603094615,0.0066476256,24,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.281]","[0,0.000857]"
"3538",26.1998,4,1,719,"ABBA",NA,808,"L","E",145,"S","FSLP",5,3,FALSE,TRUE,TRUE,TRUE,TRUE,1998,1.9635e-05,0.0087124422,0.2810216178,0,0.006789783,0.2717421168,0,0,0.184745715,24,9.4344528064,0.458333333333333,0.00152989375,0.00870440053333329,"ALIVE","o",15.1627603094615,0.04523904,26,FALSE,1,1,3,1,1,3,1,1,2,2,2,"[0,0.0616]","[0,0.116]","(0.274,0.412]","[0,0.0616]","[0,0.115]","(0.266,0.399]","[0,0.0616]","[0,0.116]","(0.137,0.274]","(0.281,0.561]","(0.000857,0.00171]"
"3539",27.1998,4,1,839,"ABBA",NA,808,"L","E",145,"S","FSLP",3,2,FALSE,TRUE,TRUE,TRUE,TRUE,1998,0.0011042724,0.0556675812,NA,0,0.0531982836,NA,0,0.039760875,NA,14.4,6.1,0.375,0.00071569575,0.0666666666666667,"ALIVE","o",15.1627603094615,0.0162860544,27,FALSE,1,1,NA,1,1,NA,1,1,NA,2,1,"[0,0.0616]","[0,0.116]",NA,"[0,0.0616]","[0,0.115]",NA,"[0,0.0616]","[0,0.116]",NA,"(0.281,0.561]","[0,0.000857]"
"3540",28.1998,4,1,840,"ABBA",NA,808,"L","E",145,"S","FSLP",4,1,FALSE,TRUE,TRUE,TRUE,FALSE,1998,0.0066476256,NA,NA,0.0066476256,NA,NA,0,NA,NA,22.5,11.767309811,0.458333333333333,0.00142190125,0.18894248425,"ALIVE","i",15.1627603094615,0.039760875,28,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,2,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"(0.281,0.561]","(0.000857,0.00171]"
"3542",39.1998,4,1,98301,"ABBA",NA,808,"L","E",145,"S","FSLP",2,1,FALSE,NA,NA,TRUE,TRUE,1998,0.00011781,NA,NA,0,NA,NA,0.00011781,NA,NA,0,1.2,NA,NA,NA,"ALIVE","",15.1627603094615,0,39,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,"[0,0.0616]",NA,NA,NA,NA
