"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
4,3,834,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,11.4,6.86,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0102070584,NA,NA,NA,209,TRUE
4,3,835,"ABBA",NA,808,"L","E",145,"S","FSLP",7,6,FALSE,1986,24.1,14.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0456168174,NA,NA,NA,210,FALSE
4,3,836,"ABBA","2010",808,"L","E",145,"S","FSLP",6,9,FALSE,1986,23.4,13.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0430053624,NA,NA,NA,211,TRUE
4,3,989,"BEAL",NA,808,"L","E",145,"S","FSLP",9,7,FALSE,1986,19.7,14.9,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0304805886,NA,NA,NA,212,FALSE
4,4,547,"PIRU","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,14.3,NA,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0160606446,NA,NA,NA,263,TRUE
4,4,707,"ABBA","1986",808,"L","E",145,"S","FSLP",6,1,FALSE,1986,13.8,6.67,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0149571576,NA,NA,NA,264,TRUE
4,4,709,"PIRU","2010",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,17.6,NA,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0243285504,NA,NA,NA,265,TRUE
4,4,717,"ABBA","1986",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,21.5,9.39,NA,NA,NA,"DEAD",NA,15.1627603094615,0.036305115,NA,NA,NA,266,TRUE
4,4,718,"ABBA","1986",808,"L","E",145,"S","FSLP",7,5,FALSE,1986,20.2,9.07,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0320474616,NA,NA,NA,267,TRUE
4,4,723,"PIRU","2011",808,"L","E",145,"S","FSLP",NA,NA,FALSE,1986,6.6,NA,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0034212024,NA,NA,NA,268,TRUE
4,4,802,"ABBA",NA,808,"L","E",145,"S","FSLP",8,3,FALSE,1986,5.3,3.71,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0022061886,NA,NA,NA,269,FALSE
4,4,803,"ABBA",NA,808,"L","E",145,"S","FSLP",10,4,FALSE,1986,14.6,9.72,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0167415864,NA,NA,NA,270,FALSE
4,4,806,"BECO",NA,808,"L","E",145,"S","FSLP",9,3,FALSE,1986,9.1,9.39,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0065038974,NA,NA,NA,271,FALSE
4,4,808,"BEAL",NA,808,"L","E",145,"S","FSLP",6,1,FALSE,1986,46.8,12.4,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.1720214496,NA,NA,NA,272,FALSE
4,4,829,"ABBA","1986",808,"L","E",145,"S","FSLP",7,3,FALSE,1986,18.6,9.57,NA,NA,NA,"DEAD",NA,15.1627603094615,0.0271716984,NA,NA,NA,273,TRUE
4,4,952,"BECO",NA,808,"L","E",145,"S","FSLP",10,3,FALSE,1986,21.3,14.3,NA,NA,NA,"ALIVE",NA,15.1627603094615,0.0356328126,NA,NA,NA,274,FALSE
