"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
5,10,97,"5.1",840,1260,57.44585183568,50.886961356,1205.51716572,977.25154604
7,6,73,"7.6",2440,NA,36.210348636,NA,473.88683248,NA
7,6,76,"7.6",2420,2440,39.369682968,36.210348636,535.5855515,473.88683248
7,6,79,"7.6",2400,2420,42.590875404,39.369682968,602.27931164,535.5855515
7,6,82,"7.6",2340,2400,45.94189446,42.590875404,668.5399182,602.27931164
7,6,85,"7.6",2220,2340,49.278415032,45.94189446,742.99474242,668.5399182
7,6,91,"7.6",1740,2220,52.13948586,49.278415032,849.15721988,742.99474242
7,6,97,"7.6",1080,1740,57.766594116,52.13948586,1007.33663192,849.15721988
7,8,73,"7.8",2440,NA,30.77024412,NA,400.28834814,NA
7,8,76,"7.8",2440,2440,33.798385236,30.77024412,453.72977808,400.28834814
7,8,79,"7.8",2440,2440,36.706203072,33.798385236,513.11704002,453.72977808
7,8,82,"7.8",2400,2440,39.70094898,36.706203072,569.62243784,513.11704002
7,8,85,"7.8",2320,2400,42.912104004,39.70094898,642.70858386,569.62243784
7,8,91,"7.8",2100,2320,46.942556892,42.912104004,743.73684336,642.70858386
7,8,97,"7.8",1580,2100,51.551755332,46.942556892,875.25159204,743.73684336
8,1,73,"8.1",820,NA,30.800309232,NA,650.39437902,NA
8,1,76,"8.1",820,820,33.403391868,30.800309232,736.82385078,650.39437902
8,1,79,"8.1",760,820,35.26202526,33.403391868,807.8362653,736.82385078
8,1,82,"8.1",720,760,37.550225328,35.26202526,883.1910225,807.8362653
8,1,85,"8.1",680,720,39.797506056,37.550225328,970.56496732,883.1910225
8,1,91,"8.1",580,680,41.955816672,39.797506056,1124.2211966,970.56496732
8,1,97,"8.1",320,580,42.870556344,41.955816672,1205.71711638,1124.2211966
8,14,73,"8.14",1880,NA,36.714528312,NA,674.27307204,NA
8,14,76,"8.14",1840,1880,40.491422664,36.714528312,777.29734446,674.27307204
8,14,79,"8.14",1840,1840,44.1528318,40.491422664,881.56783638,777.29734446
8,14,82,"8.14",1600,1840,46.631507076,44.1528318,973.53081724,881.56783638
8,14,85,"8.14",1400,1600,49.309799616,46.631507076,1087.33548952,973.53081724
8,14,91,"8.14",1100,1400,52.57805322,49.309799616,1269.51813606,1087.33548952
8,14,97,"8.14",480,1100,54.506198439,52.57805322,1400.08673214,1269.51813606
10,1,73,"10.1",2660,NA,39.969524364,NA,492.16046308,NA
10,1,76,"10.1",2620,2660,44.588069064,39.969524364,581.0116981,492.16046308
10,1,79,"10.1",2500,2620,48.446189484,44.588069064,666.32961628,581.0116981
10,1,82,"10.1",2360,2500,50.94159378,48.446189484,728.62027802,666.32961628
10,1,85,"10.1",2080,2360,52.8409266,50.94159378,791.75903178,728.62027802
10,1,91,"10.1",1800,2080,56.386960476,52.8409266,900.97627956,791.75903178
10,1,97,"10.1",960,1800,62.095860288,56.386960476,1058.9489628,900.97627956
10,2,73,"10.2",2320,NA,31.231933656,NA,358.39920422,NA
10,2,76,"10.2",2320,2320,35.483021112,31.231933656,431.36216642,358.39920422
10,2,79,"10.2",2280,2320,38.99110446,35.483021112,496.40988424,431.36216642
10,2,82,"10.2",2260,2280,42.838323528,38.99110446,569.84701588,496.40988424
10,2,85,"10.2",2180,2260,45.2944107,42.838323528,624.13297446,569.84701588
10,2,91,"10.2",1900,2180,50.194851168,45.2944107,746.64024284,624.13297446
10,2,97,"10.2",1460,1900,53.89156701852,50.194851168,853.50911554,746.64024284
14,5,73,"14.5",2420,NA,25.85167662,NA,274.8476865,NA
14,5,76,"14.5",2280,2420,31.580651256,25.85167662,371.71358066,274.8476865
14,5,79,"14.5",2180,2280,36.210929832,31.580651256,460.10798718,371.71358066
14,5,82,"14.5",2100,2180,40.418663208,36.210929832,548.69514384,460.10798718
14,5,85,"14.5",2000,2100,44.733760764,40.418663208,646.86908018,548.69514384
14,5,91,"14.5",1800,2000,50.557423224,44.733760764,807.76800556,646.86908018
14,5,97,"14.5",1200,1800,57.020181372,50.557423224,1032.78671826,807.76800556
14,7,73,"14.7",2140,NA,27.586216812,NA,327.69826084,NA
14,7,76,"14.7",2080,2140,32.955007008,27.586216812,424.9064579,327.69826084
14,7,79,"14.7",1980,2080,37.305855972,32.955007008,514.65273522,424.9064579
