"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
0,180,1,10,"FD",146,6,65,0,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",147,6,66,1.13915759485287,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",149,6,68,0.673675599589369,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",150,6,69,0.68633632467329,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",153,6,72,1.04676046492431,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",155,6,74,1.0598129715983,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",156,6,75,0.622959904809289,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",161,6,80,0.932731068538247,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",162,6,81,1.00576666022949,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",163,6,82,4.01503989720776,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",166,6,85,0,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",168,6,87,1.22140388776773,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",170,6,89,0.638747271744255,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",173,6,92,1.06410546909675,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",176,6,95,1.08001395785619,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",177,6,96,0.950474570752816,"bs",0.635096040756909,1,1,2,2,Inf
0,180,1,10,"FD",101,7,20,1.0297147355384,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",106,7,25,0.986292587373962,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",111,7,30,0.158186114315273,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",113,7,32,0,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",117,7,36,0.560384698413176,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",123,7,42,0.460998208932719,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",126,7,45,0.854432899928954,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",127,7,46,0.495867202183263,"bs",0.792138849059259,2,2,2,3,Inf
0,180,1,10,"FD",131,7,50,9.707197878086,"bs",0.792138849059259,2,2,2,3,Inf
