"pplot","splot","tag","spec","yrmort","stat86","stat87","stat98","stat10","dbh86","decm86","dbh87","cpos87","decm87","dbh98","decm98","cpos98","dbh10","decm10","cpos10","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","bv86","bv87","bv98","bv10","ht86","ht87","ht98","ht10","ba86","ba87","ba98","ba10","dbhgrowth98","dbhgrowth10","htgrowth98","htgrowth10","priordbh86","priordbh87","priordbh98","priordbh10","priorba86","priorba87","priorba98","priorba10","priorbv86","priorbv87","priorbv98","priorbv10","priorht86","priorht87","priorht98","priorht10","bvgrowth98","bvgrowth10"
1,1,138,"BECO",NA,"ALIVE","","","",5.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0025517646,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,0.0025517646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,139,"BECO",NA,"ALIVE","","","",11.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,4,NA,NA,NA,NA,NA,NA,NA,NA,0.010386915,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,0.010386915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,140,"BECO",NA,"ALIVE","","","",9.8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,0.0075429816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,142,"BECO",NA,"ALIVE","","","",19.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0295593144,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA,0.0295593144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,144,"ABBA",NA,"ALIVE","","","",8.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0059446926,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,0.0059446926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,146,"ABBA",NA,"ALIVE","","","",12,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,4,NA,NA,NA,NA,NA,NA,NA,NA,0.01130976,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,0.01130976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,148,"BECO",NA,"ALIVE","","","",6.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,152,"BECO",NA,"ALIVE","","","",10.1,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0080118654,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,0.0080118654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,169,"BECO",NA,"ALIVE","","","",7.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,4,NA,NA,NA,NA,NA,NA,NA,NA,0.004417875,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,0.004417875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,326,"BECO",NA,"ALIVE","","","",5.4,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0022902264,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,0.0022902264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
