"pplot","time","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
7.6,97,1560,1740,2.8883297058,2.512781271,50.340602327,41.394288187
7.8,73,2420,NA,1.6022639094,NA,20.561665239,NA
7.8,76,2200,2420,1.6899192618,1.538512206,22.67489663,20.014417407
7.8,79,2200,2200,1.8353101536,1.6899192618,25.645275084,22.67489663
7.8,82,2160,2200,1.985047449,1.8283656468,28.457255488,25.595218011
7.8,85,2080,2160,2.1456052002,1.966021134,32.111725435,28.285535479
7.8,91,1860,2080,2.3471278446,2.0945864016,37.186043998,31.670703998
7.8,97,1600,1860,2.5775877666,2.275857507,43.733133372,36.542307357
8.1,73,1060,NA,1.6524721752,NA,33.756214315,NA
8.1,76,760,1060,1.6701695934,1.5400154616,36.841192539,32.519718951
8.1,79,700,760,1.763101263,1.6273582248,40.391813265,36.168136086
8.1,82,660,700,1.8775112664,1.7553902058,44.14000101,40.348633204
8.1,85,620,660,1.9898753028,1.8619407114,48.526589883,43.990842316
8.1,91,520,620,2.0977908336,1.8961433106,56.21105983,47.179190594
8.1,97,440,520,2.1435278172,1.9199409306,60.275935632,51.969104469
8.14,73,1840,NA,1.9221117762,NA,34.385820463,NA
8.14,76,1500,1840,2.0245711332,1.8304422444,38.864867223,33.694378358
8.14,79,1520,1500,2.20764159,2.0245711332,44.078391819,38.864867223
8.14,82,1280,1520,2.3315753538,2.1502618368,48.657740504,43.646277134
8.14,85,1080,1280,2.4654899808,2.291683317,54.343537828,48.41579062
8.14,91,780,1080,2.628902661,2.3460157182,63.475906803,53.180325978
8.14,97,660,780,2.72530992195,2.4010117824,70.001070195,58.769870958
10.1,73,2700,NA,2.0055644532,NA,24.669282518,NA
10.1,76,2640,2700,2.2294034532,1.9796863086,29.050584905,24.427067501
10.1,79,2520,2640,2.4223094742,2.1669178146,33.316480814,28.418817839
10.1,82,2380,2520,2.547079689,2.3438605806,36.40327795,32.47581485
10.1,85,2100,2380,2.64204633,2.4612260442,39.58600727,35.615875605
10.1,91,1820,2100,2.8193480238,2.4661457898,45.048813978,37.363842882
10.1,97,1700,1820,3.1047930144,2.7580090692,52.925346918,44.402564777
10.2,73,2320,NA,1.5660145578,NA,17.952230968,NA
10.2,76,2300,2320,1.7741510556,1.5615966828,21.564007582,17.919960211
10.2,79,2280,2300,1.949555223,1.7620676766,24.817661087,21.462803979
10.2,82,2260,2280,2.1419161764,1.9386193134,28.489850143,24.707251724
10.2,85,2180,2260,2.264720535,2.1142543884,31.206648723,28.244295159
10.2,91,1900,2180,2.5097425584,2.1976489458,37.331929653,30.692361201
10.2,97,1780,1900,2.698317640326,2.4544276218,42.687825228,36.761844601
14.5,73,2540,NA,1.292583831,NA,13.742384325,NA
14.5,76,2400,2540,1.5790325628,1.2613343358,18.585679033,13.486594999
14.5,79,2300,2400,1.8105464916,1.5624087864,23.00487768,18.458986806
14.5,82,2220,2300,2.0209331604,1.7633675136,27.432154964,22.46491392
14.5,85,2120,2220,2.2366880382,1.972708815,32.340786082,26.928064664
14.5,91,1920,2120,2.5278711612,2.156892969,40.359058718,31.598033228
14.5,97,1620,1920,2.8510090686,2.369928792,51.630421655,38.727237317
14.7,73,2140,NA,1.3793108406,NA,16.384913042,NA
14.7,76,2080,2140,1.6477503504,1.3659040626,21.245322895,16.273293831
14.7,79,1980,2080,1.8652927986,1.6279543434,25.732070134,21.091104087
14.7,82,1980,1980,2.0788462002,1.8652927986,29.866965906,25.732070134
14.7,85,1920,1980,2.3218159734,2.0599950294,35.413568644,29.706944604
14.7,91,1760,1920,2.6148345762,2.2557182802,43.368993594,34.711098057
14.7,97,1720,1760,3.084662427,2.5904510478,56.149073501,43.131736341
16.2,73,2080,NA,1.0291221864,NA,10.868821989,NA
16.2,76,2080,2080,1.3184250618,1.0291221864,15.417631694,10.868821989
16.2,79,2080,2080,1.5855553098,1.3184250618,20.125636533,15.417631694
16.2,82,2060,2080,1.8298382718,1.5817068498,24.723114672,20.096006942
16.2,85,1980,2060,1.9595353008,1.7759708274,27.997900767,24.102370929
16.2,91,1820,1980,2.2599280242,1.8825284016,35.201888588,27.199569648
16.2,97,1740,1820,2.6337548622,2.235154152,46.37603045,34.986635372
16.6,73,2240,NA,1.0229120286,NA,11.386528758,NA
16.6,76,2220,2240,1.309909755,1.0139074176,16.254103076,11.312401515
16.6,79,2260,2220,1.574711292,1.3023534216,21.330141009,16.199051757
16.6,82,2200,2260,1.8054233274,1.5647571324,26.140576778,21.254986634
16.6,85,2160,2200,1.9966800084,1.8009269124,30.646032598,26.109554865
16.6,91,1740,2160,2.1957325698,1.8498117792,38.538851129,29.211077126
16.6,97,1520,1740,2.4919194762,2.116916109,48.515121882,37.7603265
19.1,73,1428.57142857143,NA,3.744064632,NA,92.383459487,NA
19.1,76,914.285714285714,1428.57142857143,3.57981393,3.3037316928,96.273354052,85.156379073
19.1,79,857.142857142857,914.285714285714,3.7670548608,3.5157425688,104.961214144,95.170238223
19.1,82,785.714285714286,857.142857142857,3.9927646836,3.6507135588,117.486340991,102.748891506
19.1,85,642.857142857143,785.714285714286,4.0070079126,3.7346657502,124.232843939,112.317457701
19.1,91,557.142857142857,642.857142857143,4.3252386408,3.7739797326,145.232866316,118.722707992
19.1,97,528.571428571429,557.142857142857,4.6955523846,4.1553071406,167.893311467,140.885207348
19.5,73,2371.42857142857,NA,3.1408444452,NA,59.506341425,NA
19.5,76,1571.42857142857,2371.42857142857,2.9423573718,2.7141876762,60.428246588,53.402985192
19.5,79,1485.71428571429,1571.42857142857,3.0813849528,2.893543191,65.552088295,59.753835309
19.5,82,1414.28571428571,1485.71428571429,3.201121539,3.0198268716,70.00077083,64.606056963
19.5,85,1285.71428571429,1414.28571428571,3.2434004064,3.0877474782,73.224244969,68.20448007
19.5,91,1100,1285.71428571429,3.401983662,3.0193736958,82.87656318,69.373246149
19.5,97,900,1100,3.5776902084,3.1324469484,94.338637601,78.126040277
22.1,73,1320,NA,2.1348397224,NA,45.250860877,NA
22.1,76,1000,1320,1.7486868168,1.6198945686,34.585022598,30.954596632
22.1,79,880,1000,1.8125830338,1.6814502936,37.669582601,33.679867651
22.1,82,840,880,1.8622116744,1.7814419238,39.464800835,37.195760563
22.1,85,760,840,1.885285941,1.7770593918,41.513948023,38.094122569
22.1,91,680,760,1.9743832878,1.7883298818,46.108295818,39.923692592
22.1,97,680,680,2.1775403496,1.9743832878,53.123955796,46.108295818
22.13,73,1420,NA,2.7172271742,NA,57.472825172,NA
22.13,76,1140,1420,2.6920001262,2.5273378746,60.138120152,54.744876008
22.13,79,1140,1140,2.8892580486,2.6920001262,66.654092652,60.138120152
22.13,82,1080,1140,2.9792083398,2.813287092,70.493505601,65.304026764
22.13,85,1060,1080,3.126987633,2.9596016142,76.012937431,70.149008575
22.13,91,940,1060,3.3084283848,2.964904635,86.297424269,72.934827513
22.13,97,860,940,3.5033803728,3.1962175014,96.107408557,84.113768924
38.15,73,750,NA,5.0744474088,NA,157.909726573,NA
38.15,76,410,750,4.6027887906,4.3083721758,154.574286443,141.986332427
38.15,79,340,410,4.548691224,4.3122080694,157.985585301,147.3194138
38.15,82,340,340,4.80865077,4.548691224,168.814757163,157.985585301
38.15,85,330,340,5.0113295232,4.7488221396,179.467290692,167.152152231
38.15,91,270,330,5.0945238036,4.645106928,191.89232106,169.557583389
38.15,97,240,270,5.0315802768,4.7185920936,200.178624007,178.327198519
38.16,73,860,NA,5.257067046,NA,160.419859359,NA
38.16,76,410,860,4.5041017098,4.196651382,151.038915412,137.438422078
38.16,79,410,410,4.7158015674,4.5041017098,160.946138952,151.038915412
38.16,82,380,410,4.822571985,4.6135974654,166.551574193,158.513076146
38.16,85,340,380,4.8536157054,4.6069820412,172.701614503,160.482344163
38.16,91,310,340,5.0602630848,4.6662082698,187.7919874,167.414881537
38.16,97,310,310,5.4754765758,4.9109428368,208.141478642,183.157860764
40.1,73,214.285714285714,NA,1.7154596844,NA,53.753915699,NA
40.1,76,185.714285714286,214.285714285714,1.7556533148,1.6543799118,57.899932612,52.319968632
40.1,79,157.142857142857,185.714285714286,1.736240583,1.6584616356,59.357566023,55.346807085
